id,description,description_2,area_km2
1,Agujero Azul,Bentónica Agujero Azul,8983.30549134
2,RNME Bentónica,Bentónica Agujero Azul,121047.470577
3,RNM,Talud Agujero Azul,36528.8475147
4,Zona de mayor relevancia,Talud Agujero Azul,8611.10002276
5,RNME,Talud Burdwood,10343.2775719
6,RNM,Talud Burdwood,33850.5905683
7,RNM - ZC,Talud Burdwood,62611.9128702
8,RNME,Yaganes,40662.9278234
9,RNM,Yaganes,27971.5162695
10,RNM,Frente Valdés,21337.6337799
11,RNME,Frente Valdés,19002.4126739
12,Frente Valdés,Frente Valdés,6046.3335277
13,RNM,El Rincón,16889.897183
14,RNME,El Rincón,14833.0181321
